være;Jeg er glad.;to be;I am happy.;
nemlig;Det er nemlig sant.;in fact;It is in fact true.;
en forbindelse;Jeg mistet min forbindelse.;connection;I lost my connection.;
flytte;Vi flytter til et nytt hus.;move;We are moving to a new house.;
et innhold;Eskens innhold er hemmelig.;content;The box's content is secret.;
direkte;Toget kjører direkte til Oslo.;direct;The train drives direct to Oslo.;
aktuell;Saken er veldig aktuell.;current;The case is very current.;
mangle;Vi mangler mat.;lack;We lack food.;
en meter;Bordet er to meter langt.;meter;The table is two meters long.;
et alternativ;Vi har et godt alternativ.;alternative;We have a good alternative.;
tross;Han kom til tross for regnet.;despite;He came despite the rain.;
en hånd;Jeg vasker min hånd.;hand;I wash my hand.;
spennende;Boken er spennende.;exciting;The book is exciting.;
per;Det koster ti kroner per stykk.;per;It costs ten kroner per piece.;
aktiv;Han er en aktiv gutt.;active;He is an active boy.;
en far;Min far er snill.;father;My father is kind.;
januar;Det er kaldt i januar.;January;It is cold in January.;
privat;Dette er et privat rom.;private;This is a private room.;
arbeide;Jeg arbeider hver dag.;work;I work every day.;
fjor;Vi reiste i fjor.;last year;We traveled last year.;
total;Det er en total feil.;total;It is a total mistake.;
fort;Du løper veldig fort.;fast;You run very fast.;
sosial;Hun er veldig sosial.;social;She is very social.;
knytte;Jeg knytter skolissene mine.;tie;I am tying my shoelaces.;
et rom;Rommet mitt er lyst og fint.;room;My room is bright and nice.;
et kurs;Jeg går på et norskkurs.;course;I am attending a Norwegian course.;
en endring;Vi ser en stor endring.;change;We see a big change.;
foran;Bilen står foran huset.;in front of;The car stands in front of the house.;
levere;Postbudet leverer brevet i dag.;deliver;The mail carrier delivers the letter today.;
sentral;Vi bor i et sentralt område.;central;We live in a central area.;
skjønne;Jeg skjønner hva du mener.;understand;I understand what you mean.;
upassende;Det er upassende å si.;inappropriate;It is inappropriate to say.;
en tanke;Jeg har en god tanke.;thought;I have a good thought.;
innenfor;Katten er innenfor døra.;inside;The cat is inside the door.;
en oppdatering;Jeg venter på en oppdatering.;update;I am waiting for an update.;
jaha;Jaha, jeg forstår det.;I see;I see, I understand that.;
en rolle;Han spiller en viktig rolle.;role;He plays an important role.;
en ende;Alt har en ende.;end;Everything has an end.;
nettopp;Jeg kom nettopp hjem.;just;I just came home.;
en tjeneste;Kan du gjøre meg en tjeneste?;favor;Can you do me a favor?;
en aktivitet;Vi planlegger en aktivitet.;activity;We are planning an activity.;
hente;Jeg henter barna på skolen.;pick up;I pick up the children at school.;
en forskning;Dette er viktig forskning.;research;This is important research.;
glad;Jeg er veldig glad i dag.;happy;I am very happy today.;
miste;Jeg mister alltid nøklene mine.;lose;I always lose my keys.;
bestå;Han består eksamen i dag.;pass;He passes the exam today.;
en mor;Hun er en snill mor.;mother;She is a kind mother.;
en hilsen;Jeg sender en hilsen.;greeting;I send a greeting.;
en april;Det er april nå.;April;It is April now.;
åpen;Døren er åpen.;open;The door is open.;
én;Jeg har bare én bil.;one;I only have one car.;
an;Det kommer an på været.;on;It depends on the weather.;
en forskjell;Det er en stor forskjell.;a difference;There is a big difference.;
helst;Jeg vil helst spise nå.;preferably;I would preferably eat now.;
en organisasjon;Dette er en stor organisasjon.;an organization;This is a big organization.;
en fremtid;Vi ser en lys fremtid.;a future;We see a bright future.;
forsøke;Jeg forsøker å hjelpe deg.;to try;I am trying to help you.;
en kvalitet;Det er en god kvalitet.;a quality;It is a good quality.;
en rest;Det er en liten rest.;a rest;It is a small rest.;
et politi;Jeg ringer til politiet.;police;I am calling the police.;
en interesse;Han har en stor interesse.;an interest;He has a big interest.;
en verdi;Huset har en høy verdi.;a value;The house has a high value.;
en støtte;Hun er en god støtte.;a support;She is a good support.;
en ball;Hun kaster en ball.;a ball;She throws a ball.;
eventuell;En eventuell plan er klar.;possible;A possible plan is ready.;
ferdig;Jeg er snart ferdig.;finished;I am soon finished.;
en stemme;Hun har en lys stemme.;a voice;She has a light voice.;
koste;Eplene koster ti kroner.;to cost;The apples cost ten crowns.;
ålreit;Det går helt ålreit.;alright;It is going quite alright.;
et utgangspunkt;Dette er et bra utgangspunkt.;a starting point;This is a good starting point.;
ene;Jeg liker den ene best.;one;I like that one best.;
svart;Katten er helt svart.;black;The cat is completely black.;
personlig;Dette er et personlig brev.;personal;This is a personal letter.;
ren;Vannet i elva er helt rent.;clean;The water in the river is completely clean.;
selvfølgelig;Det er selvfølgelig gratis.;of course;It is of course free.;
en krig;Vi vil ikke ha krig.;a war;We do not want war.;
en telefon;Jeg ringer deg fra en telefon.;a telephone;I am calling you from a telephone.;
en natt;Det er kaldt i natt.;a night;It is cold tonight.;
å dele;Vi må dele på maten.;to share;We must share the food.;
et produkt;Dette er et nytt produkt.;a product;This is a new product.;
et miljø;Vi må ta vare på miljøet.;an environment;We must take care of the environment.;
et råd;Han gir meg et godt råd.;an advice;He gives me a good piece of advice.;
via;Vi reiser via Oslo.;via;We travel via Oslo.;
følgende;Les følgende tekst nøye.;following;Read the following text carefully.;
et system;Dette er et godt system.;a system;This is a good system.;
februar;Det snør ofte i februar.;February;It often snows in February.;
slett;Det er slett ikke bra.;quite;It is quite not good.;
lik;De er helt like.;alike;They are completely alike.;
en morgen;Jeg drikker kaffe hver morgen.;a morning;I drink coffee every morning.;
et vær;Det er fint vær i dag.;a weather;It is nice weather today.;
ekstra;Jeg trenger en ekstra nøkkel.;extra;I need an extra key.;
endelig;Nå er vi endelig ferdige.;finally;Now we are finally finished.;
en masse;Det er en masse folk her;a lot;There are a lot of people here;
et hode;Jeg har vondt i hodet;a head;I have a pain in my head;
å klage;Han liker å klage på maten;to complain;He likes to complain about the food;
å basere;Jeg må basere valget på fakta;to base;I must base the choice on facts;
selvsagt;Det er selvsagt lov;of course;It is of course allowed;
en bedrift;Han starter en ny bedrift;company;He is starting a new company;
å inneholde;Flasken inneholder kaldt vann;to contain;The bottle contains cold water;
en ungdom;Hun er en aktiv ungdom;a youth;She is an active youth;
et lys;Solen gir oss sterkt lys;a light;The sun gives us bright light;
en lege;Jeg snakker med en lege;a doctor;I am talking to a doctor;
en utdanning;Han tar en god utdanning;an education;He is taking a good education;
en politikk;Vi diskuterer norsk politikk;a politics;We are discussing Norwegian politics;
nja;Nja, jeg er ikke helt sikker;well;Well, I am not quite sure;
et tilbud;Dette er et veldig godt tilbud;an offer;This is a very good offer;
ti;Jeg har ti fingre på hendene;ten;I have ten fingers on my hands;
en milliard;En milliard er et stort tall;a billion;A billion is a large number;
rød;Bilen min er rød og fin;red;My car is red and nice;
en kontroll;Politiet har en kontroll på veien;a control;The police have a check on the road;
dessuten;Han er flink, og dessuten er han snill;besides;He is clever, and besides he is kind;
fornøyd;Jeg er veldig fornøyd med dagen;satisfied;I am very satisfied with the day;
ei klokke;Klokka er fem på ettermiddagen;a clock;The clock is five in the afternoon;
en myndighet;Vi må følge en offentlig myndighet;an authority;We must follow a public authority;
en hest;Gutte rir på en brun hest;a horse;The boy rides a brown horse;
en sammenheng;Jeg ser ingen klar sammenheng her;a connection;I see no clear connection here;
å opprette;De skal opprette en ny konto;to create;They will create a new account;
en utfordring;Dette er en vanskelig utfordring;a challenge;This is a difficult challenge;
å tilby;Butikken tilbyr gratis kaffe i dag;to offer;The shop offers free coffee today;
et tak;Huset har et rødt tak;a roof;The house has a red roof;
å hevde;Hun hevder at dette er sant;to claim;She claims that this is true;
en virksomhet;Dette er en liten virksomhet;a business;This is a small business;
nedpå;Han setter seg nedpå stolen.;down;He sits down on the chair.;
en styrke;Trening gir deg mer styrke.;a strength;Training gives you more strength.;
en klasse;Jeg går i en stor klasse.;a class;I am in a large class.;
en helse;God mat er bra for din helse.;a health;Good food is brave for your health.;
aller;Dette er min aller beste venn.;very;This is my very best friend.;
uti;Båten er langt uti vannet.;out in;The boat is far out in the water.;
en liste;Jeg skriver en liste med ord.;a list;I am writing a list of words.;
fantastisk;Været i dag er helt fantastisk.;fantastic;The weather today is absolutely fantastic.;
skikkelig;Han er en skikkelig snill mann.;really;He is a really kind man.;
et nivå;Dette kurset har et høyt nivå.;a level;This course has a high level.;
en lyst;Jeg har lyst på en is.;a desire;I want an ice cream.;
interessant;Boken jeg leser er veldig interessant.;interesting;The book I am reading is very interesting.;
en desember;Det snør ofte i desember.;a December;It often snows in December.;
en avis;Jeg leser en avis hver morgen.;a newspaper;I read a newspaper every morning.;
kraftig;Det blåser en kraftig vind ute.;powerful;A powerful wind is blowing outside.;
alene;Jeg liker å gå tur alene.;alone;I like to go for walks alone.;
unna;Hold deg unna den kalde snøen.;away;Stay away from the cold snow.;
ei helg;Vi skal reise på tur i helga.;a weekend;We are going on a trip this weekend.;
en bakgrunn;Hun har en spennende bakgrunn.;a background;She has an exciting background.;
en start;Dette er en god start på dagen.;a start;This is a good start to the day.;
forrige;Jeg så henne i forrige uke.;last;I saw her last week.;
en praksis;Hun jobber i praksis på skolen.;a practice;She is working in practice at the school.;
stoppe;Du må stoppe ved rødt lys.;stop;You must stop at the red light.;
en tråd;Jeg bruker en rød tråd.;a thread;I am using a red thread.;
en sjanse;Dette er din siste sjanse.;a chance;This is your last chance.;
viss;En viss mann ringer meg.;certain;A certain man calls me.;
normal;Dagen er helt normal.;normal;The day is quite normal.;
slags;Hva slags kaffe liker du?;kind;What kind of coffee do you like?;
billig;Denne boken er veldig billig.;cheap;This book is very cheap.;
felles;Vi har et felles mål.;common;We have a common goal.;
en pasient;En pasient venter på legen.;patient;A patient waits for the doctor.;
forklare;Læreren må forklare oppgaven.;explain;The teacher must explain the task.;
enten;Du kan velge enten te eller kaffe.;either;You can choose either tea or coffee.;
en effekt;Medisinen har en god effekt.;effect;The medicine has a good effect.;
kaste;Jeg må kaste søppel.;throw;I must throw the trash.;
en aksje;Han kjøper en aksje i dag.;share;He buys a share today.;
et grunnlag;Vi trenger et godt grunnlag.;basis;We need a good basis.;
naturlig;Det er naturlig å være spent.;natural;It is natural to be excited.;
en vekt;Min vekt er stabil.;weight;My weight is stable.;
en kunde;En kunde kjøper et brød.;customer;A customer buys a loaf of bread.;
tjene;Jeg vil tjene mer penger.;earn;I want to earn more money.;
ei dør;Han åpner ei dør.;door;He opens a door.;
bytte;Jeg vil bytte denne skjorta.;change;I want to change this shirt.;
et fokus;Vi har fokus på læring.;focus;We have focus on learning.;
en kultur;Norge har en rik kultur.;culture;Norway has a rich culture.;
en lærer;En lærer hjelper elevene.;teacher;A teacher helps the students.;
dekke;Du må dekke bordet.;cover;You must cover the table.;
presentere;Jeg vil presentere min plan.;present;I want to present my plan.;
en forfatter;En forfatter skriver en bok.;author;An author writes a book.;
nasjonal;Dette er en nasjonal park.;national;This is a national park.;
drepe;Noen insekter kan drepe planter.;kill;Some insects can kill plants.;
forvente;Jeg forventer et brev i dag.;expect;I expect a letter today.;
en fisk;En fisk svømmer i vannet.;a fish;A fish swims in the water.;
tilgjengelig;Informasjonen er tilgjengelig på nett.;available;The information is available online.;
hvit;Huset mitt er malt hvit.;white;My house is painted white.;
alvorlig;Dette er en alvorlig situasjon.;serious;This is a serious situation.;
en gjest;En gjest kommer på besøk.;a guest;A guest is coming to visit.;
slite;De må slite med tunge sekker.;struggle;They have to struggle with heavy bags.;
gratis;Kaffen på jobben er gratis.;free;The coffee at work is free.;
en modell;Hun jobber som en modell.;a model;She works as a model.;
fylle;Jeg fyller glasset med vann.;fill;I fill the glass with water.;
en betydning;Ordet har en viktig betydning.;a meaning;The word has an important meaning.;
et merke;Dette er et kjent merke.;a brand;This is a well-known brand.;
glemme;Jeg glemmer ofte nøklene mine.;forget;I often forget my keys.;
en politiker;En politiker snakker til folket.;a politician;A politician speaks to the people.;
kjempe;Soldatene må kjempe for landet.;fight;The soldiers must fight for the country.;
en farge;Blå er en fin farge.;a color;Blue is a nice color.;
foreslå;Jeg vil foreslå en ny plan.;suggest;I want to suggest a new plan.;
et salg;Butikken har et stort salg.;a sale;The shop has a big sale.;
henge;Bildet skal henge på veggen.;hang;The picture shall hang on the wall.;
en jul;Vi feirer jul i desember.;a christmas;We celebrate Christmas in December.;
en voksen;En voksen må hjelpe barnet.;an adult;An adult must help the child.;
gæren;Han er helt gæren etter musikk.;crazy;He is completely crazy about music.;
planlegge;Vi må planlegge en tur.;plan;We must plan a trip.;
en årsak;Vi kjenner ikke en årsak.;a cause;We do not know a cause.;
atten;Han er atten år gammel.;eighteen;He is eighteen years old.;
slutte;Jeg må slutte på jobben nå.;to quit;I must quit the job now.;
ingenting;Det er ingenting i boksen.;nothing;There is nothing in the box.;
deretter;Vi spiser og går deretter ut.;afterwards;We eat and go out afterwards.;
en følelse;Det er en god følelse.;a feeling;It is a good feeling.;
en båt;En båt ligger på vannet.;a boat;A boat lies on the water.;
tilsvare;Tallene må tilsvare hverandre.;to correspond;The numbers must correspond to each other.;
en video;Jeg ser på en video.;a video;I am watching a video.;
diskutere;De må diskutere saken i dag.;to discuss;They must discuss the case today.;
utføre;Han må utføre oppgaven raskt.;to perform;He must perform the task quickly.;
elske;Jeg elsker å bo i Norge.;to love;I love living in Norway.;
en stilling;Han søker på en ny stilling.;a position;He is applying for a new position.;
etablere;De vil etablere et nytt firma.;to establish;They want to establish a new company.;
tape;Vi vil ikke tape kampen.;to lose;We do not want to lose the match.;
juli;Sola skinner ofte i juli.;July;The sun often shines in July.;
unngå;Du bør unngå mye sukker.;to avoid;You should avoid much sugar.;
daglig;Vi leser avisen daglig.;daily;We read the newspaper daily.;
ei skøyte;En gammel skøyte ligger ved kaia.;a boat;An old boat lies by the quay.;
en opplevelse;Det er en stor opplevelse.;an experience;It is a great experience.;
en forsker;En forsker skriver en rapport.;a researcher;A researcher writes a report.;
vokse;Barna vokser veldig fort nå.;to grow;The children are growing very fast now.;
behandle;Legen må behandle pasienten.;to treat;The doctor must treat the patient.;
beskrive;Kan du beskrive din mor?;to describe;Can you describe your mother?;
dessverre;Jeg kan dessverre ikke komme.;unfortunately;I can unfortunately not come.;
en vurdering;Jeg gir en god vurdering.;assessment;I give a good assessment.;
sex;De snakker om sex.;sex;They are talking about sex.;
derimot;Han er derimot veldig snill.;however;He is however very kind.;
en kraft;Vinden har stor kraft.;force;The wind has great force.;
å bryte;Jeg vil ikke bryte loven.;to break;I do not want to break the law.;
morsom;Filmen er veldig morsom.;funny;The movie is very funny.;
ei kirke;Vi ser en gammel kirke.;church;We see an old church.;
å utsette;Vi må utsette møtet.;to postpone;We must postpone the meeting.;
seks;Jeg har seks epler.;six;I have six apples.;
overfor;Hun sitter overfor meg.;opposite;She sits opposite me.;
tydelig;Skriften er veldig tydelig.;clear;The writing is very clear.;
en sykdom;Dette er en sjelden sykdom.;disease;This is a rare disease.;
et studium;Mitt studium er veldig spennende.;study;My study is very exciting.;
absolutt;Det er absolutt sant.;absolutely;It is absolutely true.;
en seier;Laget feirer en stor seier.;victory;The team celebrates a great victory.;
en ledelse;Firmaet har en ny ledelse.;management;The company has a new management.;
engelsk;Jeg snakker engelsk på skolen.;English;I speak English at school.;
en lyd;Jeg hører en høy lyd.;sound;I hear a loud sound.;
negativ;Svaret hans er negativt.;negative;His answer is negative.;
et øye;Jeg har noe i mitt øye.;eye;I have something in my eye.;
halv;Klokken er halv to.;half;The time is half past one.;
Norge;Jeg bor i Norge.;Norway;I live in Norway.;
en død;De sørger over hans død.;death;They mourn his death.;
ei trening;Jeg liker fysisk trening.;training;I like physical training.;
en tittel;Boken har en kort tittel.;title;The book has a short title.;
love;Jeg lover å hjelpe deg.;promise;I promise to help you.;
satse;Vi satser på å vinne.;bet;We bet on winning.;
en konsekvens;Det får en dårlig konsekvens.;a consequence;It has a bad consequence.;
ei grense;Hvor går ei grense?;a border;Where is a border?;
et skille;Det er et tydelig skille.;a distinction;It is a clear distinction.;
ei melding;Jeg får ei melding.;a message;I get a message.;
jøss;Jøss, det var dyrt!;wow;Wow, that was expensive!;
en karakter;Han får en god karakter.;a grade;He gets a good grade.;
from;Hun er veldig from.;pious;She is very pious.;
fremre;Dette er den fremre delen.;front;This is the front part.;
eie;Jeg eier en hvit bil.;own;I own a white car.;
gal;Du er helt gal.;crazy;You are completely crazy.;
oppnå;Jeg vil oppnå gode resultater.;achieve;I want to achieve good results.;
en diskusjon;Vi har en lang diskusjon.;a discussion;We have a long discussion.;
fysisk;Det er en fysisk jobb.;physical;It is a physical job.;
påvirke;Været påvirker humøret mitt.;affect;The weather affects my mood.;
et styre;Hvem sitter i et styre?;a board;Who sits on a board?;
et fly;Jeg ser et fly.;a plane;I see a plane.;
skyte;Han skyter på mål.;shoot;He shoots at the goal.;
et hensyn;Vi tar hensyn til andre.;a consideration;We take others into consideration.;
fremover;Vi ser bare fremover.;forward;We only look forward.;
oppta;Det opptar mye tid.;occupy;It occupies much time.;
et besøk;Jeg får besøk i dag.;a visit;I am getting a visit today.;
en bane;Toget kjører på en bane.;a track;The train runs on a track.;
selve;Selve jobben er ganske enkel.;the ... itself;The job itself is quite simple.;
føde;De gir dyrene føde hver dag.;food;They give the animals food every day.;
motta;Jeg mottar en pakke i posten.;receive;I receive a package in the mail.;
arrangere;Vi arrangerer en fest for ham.;arrange;We arrange a party for him.;
media;Media skriver mye om denne saken.;the media;The media writes a lot about this case.;
svak;Kaffen er veldig svak i dag.;weak;The coffee is very weak today.;
en økonomi;Landet har en god økonomi.;an economy;The country has a good economy.;
gjennomføre;De gjennomfører planen sin nå.;carry out;They are carrying out their plan now.;
en versjon;Dette er en ny versjon av boken.;a version;This is a new version of the book.;
en fare;Det er ingen fare her.;a danger;There is no danger here.;
et nett;Jeg kjøper et nytt nett.;a net;I am buying a new net.;
en kilde;Hvilken kilde bruker du?;a source;Which source are you using?;
tredje;Dette er min tredje kopp kaffe.;third;This is my third cup of coffee.;
betydelig;Det er en betydelig forskjell.;significant;There is a significant difference.;
natur;Norge har vakker natur.;nature;Norway has beautiful nature.;
ennå;Han har ikke kommet ennå.;yet;He has not come yet.;
en bank;Jeg må gå i banken.;a bank;I must go to the bank.;
forsvinne;Sola forsvinner bak en sky.;disappear;The sun disappears behind a cloud.;
praktisk;Dette er en praktisk løsning.;practical;This is a practical solution.;
en fotball;Gjengen spiller fotball i parken.;a football;The group plays football in the park.;
verken;Jeg liker verken te eller kaffe.;neither;I like neither tea nor coffee.;
en test;Eleven tar en vanskelig test.;a test;The student takes a difficult test.;
imot;De er imot forslaget.;against;They are against the proposal.;
en visning;Vi skal på en visning i kveld.;a viewing;We are going to a viewing tonight.;
avslutte;Jeg avslutter arbeidet klokka fire.;finish;I finish the work at four o'clock.;
et rekkehus;De bor i et lite rekkehus;terraced house;They live in a small terraced house;
et bosted;Hennes nye bosted er i Oslo;residence;Her new residence is in Oslo;
å tillate;Vi tillater ikke hunder her;to allow;We do not allow dogs here;
øvrig;Det øvrige programmet starter nå;remaining;The remaining program starts now;
borte;Katten min er borte i dag;away;My cat is away today;
en stund;Vi må vente en liten stund;while;We have to wait a little while;
rik;Mannen er veldig rik og snill;rich;The man is very rich and kind;
såkalt;Dette er en såkalt moderne skole;so-called;This is a so-called modern school;
en konkurranse;Hun vinner en stor konkurranse;competition;She wins a big competition;
en lykke;Hun føler stor lykke i dag;happiness;She feels great happiness today;
en idé;Jeg har en god idé nå;idea;I have a good idea now;
å drikke;Jeg drikker et glass kaldt vann;to drink;I drink a glass of cold water;
en sjekk;Han skriver en sjekk til dem;check;He writes a check to them;
rar;Dette er en veldig rar film;strange;This is a very strange movie;
en skade;Bilen har en liten skade;damage;The car has a little damage;
vakker;Naturen i Norge er veldig vakker;beautiful;The nature in Norway is very beautiful;
å treffe;Jeg treffer min beste venn ofte;to meet;I meet my best friend often;
å sørge;De sørger over den gamle hunden;to mourn;They mourn for the old dog;
en serie;Jeg ser på en spennende serie;series;I am watching an exciting series;
trygg;Barnet føler seg trygt hos mamma;safe;The child feels safe with mom;
en barnehage;Barna leker i en stor barnehage;kindergarten;The children play in a big kindergarten;
et punkt;Dette er et viktig punkt nå;point;This is an important point now;
en makt;Kongen har ikke mye makt;power;The king does not have much power;
faglig;Han gir oss god faglig hjelp;professional;He gives us good professional help;
en tvil;Det er ingen tvil om det;doubt;There is no doubt about it;
en logg;Jeg skriver i en logg;a log;I write in a log;
tung;Denne boka er veldig tung;heavy;This book is very heavy;
en funksjon;Mobilen har en ny funksjon;a function;The phone has a new function;
et fag;Mitt favorittfag er norsk;a subject;My favorite subject is Norwegian;
syk;Han er syk i dag;sick;He is sick today;
en stige;Jeg klatrer opp en stige;a ladder;I climb up a ladder;
et forsøk;Dette er et godt forsøk;an attempt;This is a good attempt;
en bjørn;En bjørn sover i skogen;a bear;A bear sleeps in the forest;
et bein;Hunden har et bein;a bone;The dog has a bone;
relativ;Tid er et relativt begrep;relative;Time is a relative concept;
overraske;Jeg vil overraske min venn;surprise;I want to surprise my friend;
en prosess;Dette er en lang prosess;a process;This is a long process;
fremdeles;Jeg bor fremdeles i Oslo;still;I still live in Oslo;
løse;Hun prøver å løse oppgaven;solve;She tries to solve the task;
en evne;Han har en god evne;an ability;He has a good ability;
en anledning;Dette er en spesiell anledning;an occasion;This is a special occasion;
høyre;Sving til høyre i krysset;right;Turn right at the intersection;
produsere;Fabrikken skal produsere nye biler;produce;The factory will produce new cars;
effektiv;Han er en effektiv arbeider;efficient;He is an efficient worker;
sammenligne;Vi kan sammenligne disse to;compare;We can compare these two;
innebære;Hva vil dette innebære?;involve;What will this involve?;
en buss;Jeg tar en buss til jobben;a bus;I take a bus to work;
en leser;Hun er en flink leser;a reader;She is a good reader;
synge;Barna liker å synge;sing;The children like to sing;
teknisk;Dette er et teknisk spørsmål;technical;This is a technical question;
en tilgang;Jeg har tilgang til huset.;access;I have access to the house.;
interessere;Bøker interesserer meg veldig.;interest;Books interest me very much.;
sjekke;Jeg sjekker e-posten min nå.;check;I am checking my email now.;
et utvalg;Butikken har et stort utvalg.;selection;The shop has a large selection.;
en dame;En dame står ved døren.;lady;A lady is standing by the door.;
redde;Jeg redder den lille katten.;save;I save the little cat.;
et universitet;Han studerer ved et universitet.;university;He studies at a university.;
en omgang;Vi spiller en omgang til.;round;We are playing one more round.;
en profil;Jeg lager en ny profil.;profile;I am making a new profile.;
et skriv;Jeg leser et viktig skriv.;document;I am reading an important document.;
et språk;Norsk er et fint språk.;language;Norwegian is a fine language.;
farlig;Det er farlig å kjøre fort.;dangerous;It is dangerous to drive fast.;
verdt;Bilen er verdt mye penger.;worth;The car is worth a lot of money.;
inkludere;Prisen inkluderer mat og drikke.;include;The price includes food and drink.;
en oversikt;Her er en oversikt over kurset.;overview;Here is an overview of the course.;
et middel;Dette er et godt middel.;means;This is a good means.;
en glede;Det er en stor glede.;joy;It is a great joy.;
et tap;Laget har et stort tap.;loss;The team has a great loss.;
en alder;Hvilken alder har barnet?;age;What age is the child?;
en metode;Vi bruker en ny metode.;method;We use a new method.;
et syn;Det er et vakkert syn.;sight;It is a beautiful sight.;
eksistere;Mange planeter eksisterer i rommet.;exist;Many planets exist in space.;
takke;Jeg takker for hjelpen.;thank;I thank for the help.;
fjern;Stedet er veldig fjernt herfra.;distant;The place is very distant from here.;
digital;Jeg har en digital klokke.;digital;I have a digital watch.;
fy;Fy skam deg!;shame;Shame on you!;
en størrelse;Jakken har feil størrelse.;a size;The jacket is the wrong size.;
ete;Hesten liker å ete gress.;eat;The horse likes to eat grass.;
avhengig;Jeg er avhengig av kaffe.;dependent;I am dependent on coffee.;
bære;Han må bære den tunge posen.;carry;He must carry the heavy bag.;
en kompetanse;Hun har riktig kompetanse for jobben.;a competence;She has the right competence for the job.;
en sang;Vi hører på en fin sang.;a song;We are listening to a nice song.;
plutselig;Det begynner plutselig å regne.;suddenly;It suddenly starts to rain.;
sann;Er denne historien sann?;true;Is this story true?;
en inntekt;Han har en høy inntekt.;an income;He has a high income.;
et brev;Jeg skriver et brev til deg.;a letter;I am writing a letter to you.;
et sykehus;Min bestemor er på sykehuset.;a hospital;My grandmother is at the hospital.;
utover;Vi ser utover det blå havet.;beyond;We look out over the blue sea.;
plassere;Du kan plassere boken på bordet.;place;You can place the book on the table.;
en e-post;Jeg sender en e-post nå.;an email;I am sending an email now.;
omtrent;Det koster omtrent hundre kroner.;approximately;It costs approximately one hundred kroner.;
organisere;Hun liker å organisere festen.;organize;She likes to organize the party.;
vedta;Styret skal vedta en ny plan.;adopt;The board will adopt a new plan.;
en stand;Bilen er i god stand.;a condition;The car is in good condition.;
svensk;Min nabo er en svensk mann.;Swedish;My neighbor is a Swedish man.;
en risiko;Det er en stor risiko.;a risk;It is a big risk.;
besøke;Jeg vil besøke min venn.;visit;I want to visit my friend.;
midt;Vi bor midt i byen.;middle;We live in the middle of the city.;
et uttrykk;Det er et vanlig uttrykk.;an expression;It is a common expression.;
et press;Han føler et stort press.;a pressure;He feels a great pressure.;
en anmeldelse;Jeg skriver en anmeldelse;a review;I am writing a review;
å teste;Vi må teste bilen;to test;We must test the car;
å ødelegge;Du må ikke ødelegge leken;to destroy;You must not destroy the toy;
en opplysning;Hun gir meg en opplysning;a piece of information;She gives me a piece of information;
trolig;Det blir trolig regn i dag;probably;It will probably rain today;
en handling;Filmen har en god handling;an action;The movie has a good plot;
populær;Boken er veldig populær;popular;The book is very popular;
å imponere;Han prøver å imponere henne;to impress;He is trying to impress her;
å representere;Han skal representere landet sitt;to represent;He will represent his country;
dyp;Sjøen er veldig dyp her;deep;The sea is very deep here;
en konsert;Vi skal på en konsert;a concert;We are going to a concert;
en kritikk;Filmen får mye kritikk;a criticism;The film receives much criticism;
en produksjon;Fabrikken har en stor produksjon;a production;The factory has a large production;
en deltaker;Han er en aktiv deltaker;a participant;He is an active participant;
å inngå;De skal inngå en avtale;to enter into;They will enter into an agreement;
å invitere;Jeg vil invitere deg på middag;to invite;I want to invite you to dinner;
tysk;Han snakker tysk med faren;German;He speaks German with his father;
å foreta;Vi må foreta en undersøkelse;to undertake;We must undertake an investigation;
kjent;Han er en kjent skuespiller;known;He is a known actor;
tett;De bor i et tett nabolag;dense;They live in a dense neighborhood;
en knapp;Jeg trykker på en knapp;a button;I press a button;
inntil;Bilen står helt inntil huset;up against;The car stands right up against the house;
et faktum;Dette er et viktig faktum;a fact;This is an important fact;
utstyr;Vi trenger nytt utstyr til turen;equipment;We need new equipment for the trip;
en standard;Dette er en høy standard;a standard;This is a high standard;
gjennomført;Planen er gjennomført.;completed;The plan is completed.;
et tegn;Jeg ser et tegn.;a sign;I see a sign.;
en linje;Tegn en rett linje.;a line;Draw a straight line.;
en skjerm;Jeg ser på en skjerm.;a screen;I am looking at a screen.;
en befolkning;Byen har en stor befolkning.;a population;The city has a large population.;
en retning;Vi kjører i feil retning.;a direction;We are driving in the wrong direction.;
en T-bane;Jeg tar en T-bane til byen.;a metro;I take a metro to the city.;
skaffe;Han prøver å skaffe hjelp.;obtain;He is trying to obtain help.;
en tube;Jeg kjøper en tube med kaviar.;a tube;I am buying a tube of caviar.;
moderne;Huset er veldig moderne.;modern;The house is very modern.;
en olje;Norge selger mye olje.;an oil;Norway sells a lot of oil.;
en skatt;Han betaler skatt hver måned.;a tax;He pays tax every month.;
en tale;Kongen holder en tale.;a speech;The king gives a speech.;
lansere;De lanserer en ny app.;launch;They are launching a new app.;
rimelig;Maten her er veldig rimelig.;reasonable;The food here is very reasonable.;
en president;Landet har en ny president.;a president;The country has a new president.;
en konge;Norge har en konge.;a king;Norway has a king.;
tusen;Det koster ett tusen kroner.;thousand;It costs one thousand kroner.;
en dukke;Barnet leker med en dukke.;a doll;The child plays with a doll.;
enorm;Hagen er helt enorm.;enormous;The garden is absolutely enormous.;
et bibliotek;Jeg leser på et bibliotek.;a library;I read at a library.;
en mengde;Det er en stor mengde vann.;an amount;There is a large amount of water.;
et næringsliv;Byen har et aktivt næringsliv.;business sector;The city has an active business sector.;
